,train,vaild
0,84.40366972477064,87.71331058020478
1,84.73132372214941,87.37201365187714
2,86.17300131061599,88.39590443686006
3,88.72870249017038,87.03071672354949
4,82.96199213630406,83.2764505119454
5,86.43512450851901,86.3481228668942
6,86.63171690694627,87.37201365187714
7,86.30406290956749,86.68941979522184
8,86.82830930537352,87.03071672354949
9,86.56618610747051,86.68941979522184
10,86.30406290956749,87.71331058020478
11,87.54914809960681,86.00682593856655
12,86.69724770642202,83.61774744027304
13,85.84534731323723,81.91126279863481
14,81.12712975098296,86.00682593856655
15,83.22411533420707,84.30034129692832
16,84.33813892529488,85.66552901023891
17,85.84534731323723,84.30034129692832
18,81.12712975098296,83.95904436860069
19,84.01048492791612,84.64163822525597
20,83.87942332896462,86.00682593856655
21,53.34207077326344,65.18771331058021
22,53.99737876802097,65.52901023890784
23,55.43905635648755,60.40955631399317
