,train,vaild
0,89.65517241379311,84.77157360406092
1,91.13300492610837,84.26395939086295
2,92.85714285714286,85.78680203045685
3,91.87192118226601,85.78680203045685
4,86.69950738916256,85.78680203045685
5,90.27093596059113,86.80203045685279
6,92.85714285714286,87.81725888324873
7,90.51724137931035,87.81725888324873
8,93.8423645320197,86.29441624365482
9,91.6256157635468,87.81725888324873
10,90.64039408866995,87.81725888324873
11,90.14778325123153,85.78680203045685
12,85.96059113300493,85.27918781725889
13,89.5320197044335,85.27918781725889
14,90.64039408866995,86.29441624365482
15,90.51724137931035,87.30964467005076
16,88.05418719211822,87.30964467005076
17,88.17733990147784,88.3248730964467
18,88.42364532019704,85.78680203045685
19,90.76354679802955,86.29441624365482
20,91.99507389162562,85.27918781725889
21,64.4088669950739,68.02030456852792
22,56.77339901477833,51.776649746192895
23,63.669950738916256,59.898477157360404
